Chi,Vp,Vs1,Vs2,uvz,,
49.5,0,4.940815,0,"1,0.123,0.920",,
59.5,0,5.269729,0,"1,0.123,0.920",,
69.5,0,6.100262,0,"1,0.123,0.920",,
79.5,11.262661,7.104817,0,"1,0.123,0.920",,
89.5,10.926015,7.728325,0,"1,0.123,0.920",,
99.5,11.221089,7.167122,0,"1,0.123,0.920",, 
109.5,0,6.248911,0,"1,0.123,0.920",,
119.5,0,5.492402,0,"1,0.123,0.920",,
129.5,0,5.210869,0,"1,0.123,0.920",,
139.5,0,5.507726,0,"1,0.123,0.920",,
149.5,0,0,6.426389,"1,0.123,0.920",,
159.5,0,0,7.325325,"1,0.123,0.920",,
169.5,0,0,8.118879,"1,0.123,0.920",,
189.5,0,0,8.162749,"1,0.123,0.920",,
199.5,0,4.955335,7.410855,"1,0.123,0.920",,
209.5,0,5.42184,6.693894,"1,0.123,0.920",,
219.5,0,5.191585,0,"1,0.123,0.920",,
229.5,0,4.940815,0,"1,0.123,0.920",,
239.5,0,5.269729,0,"1,0.123,0.920",,
249.5,0,6.100262,0,"1,0.123,0.920",,